0.45,-0.02,-0.19,0.04,-0.08,0.04,-0.20,-0.04,-0.08,0.05,0.00,-0.01,0.19,0.16,-0.17,-0.32,0.07,-0.08,-0.05,-0.18,0.06,0.12,-0.08,0.07,0.06,-0.07,-0.05,-0.02,-0.20,-0.09,0.15
0.59,0.06,-0.07,0.14,0.15,0.15,0.18,0.09,-0.17,-0.09,0.15,0.02,-0.05,0.23,0.21,0.07,0.12,-0.04,-0.28,0.11,-0.04,-0.05,-0.13,-0.02,0.00,-0.16,0.18,-0.19,0.29,0.06,0.04
0.61,0.11,-0.10,-0.04,-0.29,0.05,-0.00,-0.06,-0.08,-0.24,0.02,0.21,0.11,-0.09,0.20,0.12,0.01,0.05,0.06,-0.27,0.11,-0.10,-0.10,-0.05,-0.24,0.13,0.14,-0.07,-0.21,0.19,-0.12
0.59,0.03,-0.14,-0.13,0.08,0.03,0.01,-0.01,0.01,-0.15,-0.01,-0.03,-0.28,0.03,-0.27,-0.03,0.01,-0.25,0.24,0.04,-0.07,0.10,-0.25,0.10,0.31,0.02,-0.02,0.00,0.06,-0.23,0.07
0.91,-0.16,0.24,-0.06,0.20,0.04,-0.34,0.06,0.07,-0.11,0.50,0.18,-0.11,0.02,-0.09,-0.02,-0.08,-0.01,-0.11,0.11,0.06,0.10,-0.07,-0.25,0.01,-0.22,0.00,0.23,-0.20,0.14,-0.27
0.50,-0.02,-0.08,0.13,0.05,-0.34,-0.01,0.02,-0.08,0.09,-0.18,-0.04,-0.05,0.07,-0.08,-0.13,-0.11,0.18,-0.00,0.08,0.08,0.02,0.08,-0.10,-0.05,0.28,0.22,-0.23,-0.03,0.01,-0.13
0.59,-0.10,-0.36,0.19,0.11,-0.04,0.08,0.19,0.11,0.16,0.19,-0.03,0.13,0.16,-0.06,-0.01,0.08,0.01,-0.17,-0.12,-0.33,-0.01,0.12,-0.04,0.02,0.00,0.20,0.05,-0.13,0.07,0.04
0.80,-0.08,-0.10,-0.17,0.35,-0.04,0.05,-0.35,-0.09,0.15,-0.23,0.06,-0.05,0.29,-0.01,-0.04,-0.15,0.07,-0.17,-0.09,-0.15,-0.09,0.07,-0.12,0.09,-0.08,0.10,0.19,0.26,-0.13,0.26
0.72,0.03,-0.13,-0.09,0.14,0.01,0.23,0.03,0.16,-0.02,0.03,-0.02,-0.10,0.15,-0.48,0.14,0.06,-0.15,-0.03,-0.26,0.03,-0.21,-0.23,0.11,-0.10,-0.08,-0.12,0.06,-0.22,0.10,0.11
0.75,-0.05,0.17,0.07,0.24,-0.07,-0.05,0.33,0.08,0.17,-0.09,0.10,0.30,-0.11,-0.27,-0.17,0.10,0.10,0.20,-0.06,0.22,-0.14,0.03,-0.20,-0.25,-0.01,-0.05,0.09,0.09,0.00,0.18
