202617376.00,12.20,8.09,-10.61,0.63,14.90,12.11,6.66,-9.75,11.64,-4.31,-9.63,20.50,-9.59,-3.06,23.89,-27.84,-21.63,26.56,5.98,-100.00
293491392.00,-16.42,-19.70,12.19,0.27,21.90,-20.39,-17.61,10.90,6.31,7.22,13.07,-4.77,13.17,33.59,26.64,-4.43,-11.91,24.29,-7.25,34.63
263841776.00,-10.17,20.70,-17.24,-2.54,-9.92,15.06,20.36,-0.94,-9.64,-15.47,3.34,18.69,14.81,-15.78,-22.99,-10.81,15.33,21.44,-34.71,100.00
290484032.00,-13.40,-25.62,-14.66,-8.21,25.27,-22.82,6.49,-2.29,21.49,-0.02,20.09,-1.87,-15.38,16.15,-20.60,0.50,-16.72,29.53,-19.57,45.89
470301568.00,-6.00,37.14,20.86,7.78,-3.13,13.19,-26.83,-24.06,24.90,18.83,10.04,-18.98,-12.81,-4.37,-24.70,-27.12,2.53,-19.75,-1.10,-100.00
402326080.00,-20.68,-22.15,4.01,-14.65,-3.94,10.22,-0.54,1.78,12.04,3.24,31.99,-14.46,-8.53,-18.44,-15.27,30.32,20.30,-30.29,27.13,98.40
226926000.00,25.41,-0.02,-15.90,15.46,26.20,17.79,-1.68,2.02,4.94,-0.35,14.75,11.60,-25.73,15.41,-27.27,13.48,-15.61,-9.08,-10.92,100.00
232835456.00,28.07,-29.72,0.88,-2.49,-6.57,15.00,-18.92,-2.22,-10.53,-10.19,13.68,-14.59,24.90,-14.58,-13.84,-7.04,-7.94,-6.50,14.23,-97.00
158821360.00,13.22,13.19,12.59,14.14,14.91,-14.16,-23.29,16.51,-7.02,-2.33,5.65,23.21,25.55,-20.54,-15.26,-12.69,-10.55,-7.06,-4.52,-28.72
320942336.00,-25.34,-6.47,-27.34,5.55,2.59,-18.43,30.62,-27.30,-2.67,-20.85,-20.79,19.48,9.82,-7.02,-15.11,-11.33,13.31,-4.13,7.77,-49.22
300705344.00,6.84,3.00,-1.77,-13.78,34.92,-18.48,-1.18,-20.69,10.07,-7.04,-3.25,-19.67,-3.44,-0.84,4.38,13.67,11.98,30.20,-16.71,-7.23
257270000.00,-0.68,15.05,3.68,-15.91,5.21,27.38,16.43,-0.47,-1.11,4.53,-17.26,-29.29,-2.82,-3.75,-3.60,30.61,-15.64,-11.47,-7.41,-29.52
345474592.00,7.57,16.89,20.23,12.92,-21.92,32.53,26.12,3.80,21.14,-7.13,14.25,-2.29,7.30,-3.41,-21.62,16.35,31.28,3.77,-0.16,23.28
542847232.00,-28.22,-31.88,24.84,-20.47,-6.70,-4.88,29.76,-30.82,9.14,16.92,-5.06,-22.80,18.95,5.35,17.84,21.03,22.22,-25.61,-4.28,-60.66
252860576.00,0.43,2.68,4.66,-10.78,-38.04,11.62,3.13,-3.32,11.30,-0.77,18.46,-15.59,-11.79,9.64,-12.75,17.65,7.31,-15.82,1.69,100.00
430085632.00,6.53,12.57,32.43,12.11,11.23,-8.86,2.00,-7.48,16.65,-7.03,-30.15,29.82,-27.87,11.31,28.19,-0.10,-21.29,-2.02,14.06,47.22
233978688.00,-25.05,-15.77,-11.03,1.08,10.69,22.49,9.19,24.25,2.13,-23.55,1.49,12.58,-9.39,1.16,1.03,-16.92,8.98,22.09,-29.03,100.00
638179008.00,-6.37,-13.61,31.20,-13.46,2.71,-38.61,-5.18,-0.02,34.68,-1.64,10.64,25.74,14.03,12.38,28.86,24.45,-15.72,0.11,16.89,-10.52
460911104.00,-2.93,30.56,37.31,-21.52,-1.15,-0.41,-21.73,-25.14,-14.83,-7.93,8.84,-0.14,-21.45,-21.57,-24.31,-6.82,5.40,8.51,16.42,100.00
218241024.00,21.10,12.07,1.84,23.69,-24.07,-18.66,15.32,0.25,27.23,18.53,9.26,-11.60,1.40,3.84,12.05,-10.46,23.85,15.88,11.15,-100.00
138865824.00,-5.22,-22.40,-11.83,11.52,15.14,13.56,3.17,-4.58,-3.28,-12.24,-0.50,-27.26,-8.19,22.02,9.26,-20.39,9.41,-3.89,9.07,-21.17
