384.07,-26.08,-500.00,1.37,-2.60,-410.27,-22.19,-278.11,-327.80,50.51,-134.49,-164.92,64.34,-104.83,500.00,89.00,67.66,139.40,500.00,-325.82,-146.55,262.05,-91.28,-8.14,146.25,-213.68,-213.86,-78.60,61.04,-75.36,-2.14
320.50,239.54,-40.45,17.72,-104.47,418.96,455.57,-101.22,112.13,-16.12,-87.59,195.98,-316.48,-149.95,31.59,-165.43,-130.63,-149.82,147.49,-83.09,309.95,274.26,227.50,388.27,-57.65,19.97,6.80,241.69,-183.58,85.30,-243.63
326.86,-352.53,355.81,-45.59,121.28,-428.24,-66.98,-60.43,302.35,14.87,-328.76,246.61,201.97,-400.34,-46.96,-101.81,-59.87,328.98,0.37,-56.55,-2.09,72.71,151.14,-36.81,-286.77,224.08,104.70,42.23,-236.01,143.61,63.67
342.97,240.36,-145.71,-247.65,32.32,16.77,16.94,373.16,-251.23,-51.06,-145.67,272.19,-171.62,100.86,81.96,151.83,-345.46,237.75,202.89,-293.03,-204.68,-446.01,-316.59,102.86,-223.69,-178.74,-181.91,-188.56,-198.72,-107.72,-1.49
379.21,-323.88,357.99,42.11,111.64,30.88,252.76,-28.62,-87.76,295.73,-1.15,-50.56,-53.97,224.02,396.45,11.37,-155.41,-273.61,-39.89,-500.00,-162.03,-500.00,18.44,142.13,40.75,67.87,-107.38,56.65,-176.11,-118.03,-422.41
371.62,2.66,-75.67,-28.89,-108.07,27.70,186.61,134.10,-108.40,398.88,-223.91,-244.22,-19.18,-459.03,92.65,-194.74,-500.00,78.95,256.97,127.98,-80.46,-209.08,66.59,128.10,-322.82,288.88,32.39,-409.63,-5.68,308.00,106.50
295.69,-85.78,-212.98,-145.60,-147.90,-50.31,310.99,-500.00,117.39,225.26,109.80,-122.83,-189.77,-31.30,91.69,-63.71,11.20,205.51,-118.86,-365.57,131.93,208.59,-500.00,-146.80,10.37,-113.36,2.78,-112.24,158.85,138.54,1.85
364.32,184.25,216.68,-255.38,-41.95,450.85,48.22,112.95,111.83,-407.97,265.82,222.72,138.32,-79.42,-277.35,-171.72,-120.47,-207.69,-17.53,198.05,83.12,7.33,-63.32,242.12,267.19,11.10,325.26,-388.78,186.96,-227.42,272.19
331.33,-91.75,46.32,-73.43,341.29,143.88,-167.18,-143.71,28.30,-296.17,121.35,-384.94,308.98,-205.79,-118.14,-221.78,-183.06,-389.50,-154.28,107.26,-81.60,-53.19,48.79,252.82,-66.15,500.00,-208.09,199.32,111.82,52.89,134.80
352.16,-500.00,134.54,-201.68,311.98,352.97,-242.86,-253.16,-102.53,66.80,-144.10,-407.37,124.02,-273.37,58.51,112.06,-157.32,155.38,-1.32,-43.02,-354.63,8.85,-146.46,313.20,-140.90,-48.75,188.91,36.68,-53.52,285.97,55.36
