-7984.40,-0.00,0.02,1.17,-0.96,-0.88,-1.07,-1.01,1.12,0.97,0.07
-7945.65,-1.07,-1.04,-0.03,1.93,-0.06,-0.97,0.12,-0.92,-0.01,2.07
-8484.83,0.96,-1.18,-0.97,0.02,0.04,0.96,1.02,0.03,0.08,0.08
-8426.67,0.04,-0.04,-0.94,-0.10,-0.85,-0.02,-0.02,-1.09,-2.01,0.03
-7833.72,1.04,0.10,0.97,-0.99,1.94,-1.03,0.98,-2.04,2.01,0.07
-7896.21,0.15,0.92,-1.05,-0.07,0.03,0.90,-0.85,1.01,-0.96,1.08
-8325.17,-1.01,0.14,0.10,0.02,0.09,1.12,-0.99,-0.98,0.95,1.04
-8188.51,-0.06,0.03,0.02,-1.02,-1.03,-0.02,0.89,-1.01,0.20,0.15
-7713.97,-0.06,0.10,1.00,1.10,1.16,0.95,0.90,-1.96,-0.08,0.04
-7933.85,-0.99,0.04,-1.16,-0.05,-0.89,0.01,-0.96,2.01,-0.06,1.98
-7738.88,-1.06,-2.08,0.87,0.05,1.99,0.16,0.01,-0.06,0.03,-0.08
-8501.01,0.97,-0.89,0.99,-0.95,-1.02,1.00,-0.08,0.91,0.08,-0.95
-8128.42,-0.04,0.11,-0.95,0.15,0.05,0.09,-0.85,0.98,0.90,-0.03
-8071.24,1.01,-0.87,0.15,0.11,0.85,-0.04,-0.03,-0.01,0.07,-0.96
-7414.34,0.87,0.10,-1.04,0.99,0.88,-1.14,1.12,0.99,-2.00,0.01
-7030.41,-0.88,-0.17,0.13,0.02,0.13,-1.91,0.02,1.10,-1.88,-0.00
-8181.62,-0.15,2.03,0.04,-0.06,-0.87,0.05,-1.08,-0.03,0.93,0.00
-7600.83,1.04,-0.92,0.01,-1.03,0.00,0.13,0.12,-0.18,-0.18,-0.93
-8070.72,-0.90,0.08,-0.08,0.10,-0.02,1.82,-0.01,0.94,0.99,1.00
-7497.39,-0.10,0.97,0.82,1.02,-0.99,-1.19,-0.91,-0.95,0.99,0.08
-8262.40,1.01,-0.01,-2.10,0.10,0.03,1.12,1.03,-0.01,0.91,0.06
-7574.38,0.00,0.05,-0.10,-0.97,0.03,1.09,-2.13,-2.00,1.92,-0.95
-8425.09,-0.96,-0.01,0.07,0.97,0.87,1.92,0.95,0.98,-0.98,-0.04
-7957.41,-0.12,-1.00,-0.06,0.12,-1.02,-0.98,1.09,-2.10,1.07,-0.04
-7665.03,-1.04,0.95,1.05,-0.01,0.05,0.77,0.02,0.05,-1.06,-0.19
-9127.11,-0.05,-0.94,0.94,0.98,-1.05,0.97,-0.01,0.02,-0.08,0.02
-8587.57,-0.02,0.14,-1.00,1.14,1.07,0.04,-1.02,-0.99,0.00,-0.01
-7858.94,-1.14,0.91,-0.04,-0.04,1.02,-0.04,1.96,0.10,1.89,-0.02
-8207.09,-0.12,0.05,0.01,2.01,-0.07,-0.00,-1.10,-1.95,-0.95,1.00
-7796.14,-0.07,-0.00,-0.82,0.96,1.05,-1.03,2.11,-0.11,0.93,0.01
