11.57,22.16,23.59,-30.00,23.90,-13.81,30.00,13.25,5.71,-12.50,-30.00
10.48,-2.13,2.19,-3.47,-3.81,27.78,17.64,-10.05,5.72,-10.13,-9.21
12.07,13.59,-14.98,9.12,-2.19,9.16,7.68,-1.07,7.60,-5.78,10.14
11.04,20.87,11.19,-1.70,4.70,-1.78,23.28,30.00,-14.02,-30.00,24.42
10.19,-30.00,-13.25,-30.00,-24.42,-30.00,-23.87,3.13,-19.77,0.82,-6.15
11.21,-11.50,-1.65,-2.72,1.58,23.29,23.47,-2.75,11.48,8.82,-17.73
12.10,13.49,14.86,13.85,-14.73,30.00,-12.98,5.64,-6.08,7.17,-22.65
12.33,-1.15,24.11,30.00,-24.25,30.00,-13.61,-30.00,24.22,-15.90,-11.56
12.45,-18.02,27.04,18.75,13.11,30.00,-13.67,-1.91,-23.80,13.98,30.00
12.26,-3.54,19.77,14.14,-14.53,-30.00,-23.53,22.98,-4.01,-27.19,-17.63
12.76,25.12,-30.00,13.57,30.00,-24.94,13.92,-30.00,-13.23,15.79,-5.44
10.53,-4.38,10.94,-3.59,19.91,-26.37,27.60,-18.82,-14.00,0.39,9.43
10.66,16.27,3.72,4.96,-3.78,-23.58,-15.14,-23.86,1.71,7.86,5.91
11.18,27.38,6.17,22.91,30.00,13.37,-15.29,-30.00,-24.09,-30.00,-13.39
10.52,-30.00,22.91,16.61,22.64,-7.66,-5.82,-12.90,30.00,-14.27,-30.00
12.89,-9.35,-25.90,19.54,5.33,12.74,-30.00,-24.02,30.00,-23.26,-21.69
11.20,-23.07,-23.79,-30.00,-12.61,30.00,-15.29,-23.85,30.00,13.74,30.00
11.61,23.26,30.00,-23.70,0.15,-23.42,16.76,10.82,16.61,0.55,7.74
10.99,-25.66,-28.16,25.75,21.32,-18.98,5.86,7.32,-9.14,2.92,-9.02
11.52,-16.45,-3.67,8.74,-10.44,-13.50,25.10,-12.28,-30.00,14.21,0.35
11.91,2.17,-9.45,21.22,10.48,9.88,-0.48,-13.81,-30.00,23.80,-30.00
11.76,4.51,10.64,-8.67,13.88,-30.00,24.02,30.00,24.55,-30.00,-24.57
10.55,23.18,-5.89,15.46,6.02,-22.98,-5.83,-13.13,-30.00,13.95,-30.00
10.88,30.00,-14.19,24.12,0.67,13.54,-30.00,13.76,-30.00,-13.21,-24.64
11.72,30.00,14.17,19.77,4.41,-6.27,-0.57,23.53,30.00,-22.93,30.00
11.42,30.00,-12.70,30.00,-14.39,-30.00,23.31,30.00,23.85,4.74,-1.39
10.20,-30.00,-13.91,30.00,23.71,-30.00,-23.73,30.00,-12.56,-5.92,-7.86
11.83,-13.76,-30.00,-23.70,-30.00,-11.76,0.09,11.34,-30.00,13.59,-30.00
11.06,14.50,30.00,-14.59,30.00,13.32,30.00,-12.74,30.00,-24.28,-30.00
12.48,-20.83,11.56,-1.66,-17.23,0.81,6.03,-27.53,18.03,28.29,-26.53
