0.92,-3.13,-8.47,-9.36,12.90,-0.66,7.40,8.66,5.97,-18.36,-0.15
0.89,6.19,0.31,-0.15,-0.40,-8.26,6.59,-0.63,8.77,-7.87,16.19
0.89,-8.87,-3.82,15.66,0.23,7.22,-7.17,-7.62,0.72,-3.55,-0.20
0.79,-0.31,-0.75,-5.47,5.45,-0.32,6.46,10.67,-9.77,1.65,10.79
1.07,11.19,2.05,1.92,3.57,10.35,0.48,-0.09,1.22,-3.41,2.34
0.94,0.67,-13.15,-1.00,-7.87,-6.66,9.37,-2.90,-0.10,0.59,-0.59
0.96,-12.20,4.00,4.85,-4.35,7.11,1.08,15.22,-8.35,-20.53,9.72
1.02,3.50,-12.80,6.06,-5.46,7.34,6.77,7.82,3.97,1.02,-9.68
0.94,0.07,-5.25,-16.85,17.57,6.27,7.13,9.14,-6.24,0.94,-8.50
0.98,-0.48,-8.99,-4.34,-11.02,6.99,-16.65,8.47,-2.50,10.18,2.37
1.10,10.06,9.73,1.97,-2.54,3.20,-3.40,-3.93,-0.02,12.65,1.80
0.99,5.01,-0.26,-0.37,6.51,6.99,-5.91,-8.07,7.86,2.03,-7.02
0.91,13.19,4.37,-15.96,18.86,9.09,0.47,-0.12,1.24,0.82,-2.19
0.81,16.26,4.31,0.59,-31.24,-0.08,-0.39,8.06,18.98,-18.23,-0.19
1.04,-6.77,4.72,-1.13,4.84,-8.12,2.62,-7.39,6.37,5.60,1.23
0.98,-0.21,-0.50,19.72,7.03,12.84,-0.98,0.64,1.23,-7.64,-0.14
1.01,6.27,8.79,10.22,-7.73,15.54,0.79,-7.65,-7.54,-6.77,-18.17
0.86,-12.92,-4.43,1.49,-12.28,6.66,9.61,-17.38,8.83,-0.04,1.63
0.87,10.04,-4.50,-11.82,-12.45,5.86,15.39,16.74,-26.77,-8.88,-9.51
0.87,18.41,8.91,-11.18,11.77,-12.46,8.37,9.72,8.84,0.20,7.99
1.02,25.23,-3.70,0.30,-1.10,0.25,8.19,-14.36,-1.85,11.14,8.18
1.04,-10.20,5.42,-1.67,-0.28,-2.67,-0.20,-1.70,-7.69,-9.99,-3.19
0.90,-0.30,12.57,-4.82,-13.08,-13.70,-8.61,-6.75,2.53,-10.35,10.91
0.91,6.23,9.17,-9.45,18.35,6.50,-0.26,-10.42,-1.07,-19.19,-8.85
1.06,6.68,0.24,0.36,5.74,-2.55,0.05,-4.57,8.13,3.93,-1.52
1.01,12.43,0.79,5.73,11.54,-0.65,-13.96,-9.28,24.73,9.42,19.24
0.91,-6.61,4.99,0.94,4.64,-21.66,-1.15,8.02,-16.67,-2.02,0.43
0.68,2.90,-0.42,-15.97,-5.03,-0.75,0.48,-0.63,2.27,0.83,-8.84
0.84,5.83,4.77,-7.10,-11.96,-0.16,6.40,9.22,8.28,0.38,7.73
0.97,9.86,-14.06,-5.94,10.47,-7.06,-6.75,7.01,7.51,7.17,0.17
